PLACE,COUNTY,POPULATION,POPULATION DENSITY,PER CAPITA INCOME,MEDIAN HOUSEHOLD INCOME,MEDIAN FAMILY INCOME
Clovis,Fresno,"98,815","4,210.80","$28,497 ","$63,662 ","$74,201 "
Compton,Los Angeles,"97,663","9,754.60","$13,847 ","$43,230 ","$45,877 "
Jurupa Valley,Riverside,"97,247","2,265.20","$18,579 ","$55,898 ","$59,710 "
Vista,San Diego,"96,181","5,148.90","$21,161 ","$47,782 ","$53,505 "
South Gate,Los Angeles,"95,515","13,200.00","$14,256 ","$43,526 ","$44,947 "
Mission Viejo,Orange,"95,246","5,403.40","$41,513 ","$98,157 ","$110,723 "
Vacaville,Solano,"93,994","3,311.60","$30,111 ","$74,207 ","$85,931 "
Arden-Arcade,Sacramento,"92,844","5,207.50","$31,469 ","$45,750 ","$60,601 "
Carson,Los Angeles,"92,475","4,939.10","$23,622 ","$71,420 ","$76,997 "
Hesperia,San Bernardino,"91,757","1,255.30","$16,584 ","$44,472 ","$50,027 "
Santa Monica,Los Angeles,"91,619","10,887.60","$58,252 ","$74,534 ","$113,956 "
Westminster,Orange,"91,255","9,086.40","$22,821 ","$53,660 ","$57,262 "
Redding,Shasta,"90,725","1,521.00","$23,893 ","$43,773 ","$56,506 "
Santa Barbara,Santa Barbara,"89,669","4,600.80","$37,692 ","$65,916 ","$82,769 "
San Marcos,San Diego,"87,808","3,603.90","$24,789 ","$56,139 ","$63,866 "
Chico,Butte,"87,517","2,658.30","$24,775 ","$42,334 ","$60,195 "
San Leandro,Alameda,"87,159","6,530.20","$29,442 ","$64,279 ","$76,781 "
Newport Beach,Orange,"86,594","3,641.80","$78,012 ","$107,991 ","$153,709 "
Whittier,Los Angeles,"86,400","5,898.00","$27,632 ","$65,583 ","$74,628 "
Hawthorne,Los Angeles,"85,889","14,124.20","$20,445 ","$44,384 ","$47,091 "
Citrus Heights,Sacramento,"84,678","5,951.10","$24,915 ","$51,150 ","$59,355 "
Tracy,San Joaquin,"84,573","3,748.50","$26,121 ","$74,748 ","$80,439 "
Alhambra,Los Angeles,"84,400","11,060.10","$24,971 ","$53,195 ","$57,056 "
Livermore,Alameda,"83,901","3,122.90","$42,594 ","$99,683 ","$111,950 "
Indio,Riverside,"82,539","2,692.30","$20,674 ","$47,922 ","$54,656 "
Buena Park,Orange,"82,191","7,809.90","$24,525 ","$68,884 ","$72,878 "
Menifee,Riverside,"81,658","1,757.10","$23,165 ","$56,671 ","$64,431 "
Hemet,Riverside,"81,203","2,916.00","$18,284 ","$33,932 ","$41,824 "
Lakewood,Los Angeles,"80,926","8,591.80","$29,981 ","$79,113 ","$88,660 "
